,original_dt,update_dt,agency,county,city,subject_list,subject_std,pty,worked_by,overall_stus,assignment_stus,assignee,jurisdictiont_tracking_num,state_tracking_num,emac_federal_ma_num
98,2020-03-20,2020-03-21,Klickitat Valley Health,Klickitat,Goldendale,"medication, albuteral sulfate inhaler",Medication,Life Saving,County,Assigned,Assigned,Logistics Section,WA­ 202032021217 0260048,WA­ 202032021217,
99,2020-03-18,2020-03-21,Camano Island Fire Rescue,Island,Coupeville,"suit, protective, coverall, tyvek, xl, 200",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031811314 IC­20­030031,WA­ 202031811314,
100,2020-03-20,2020-03-21,Klickitat Valley Health,Klickitat,Goldendale,"gowns, isolation",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202032020533 0260038,WA­ 202032020533,
101,2020-03-20,2020-03-21,Klickitat Valley Health,Klickitat,Goldendale,commercial washer and dryer set,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 20203202081 0260040,WA­ 20203202081,
102,2020-03-18,2020-03-21,Camano Island Fire Rescue,Island,Coupeville,electrostatic sprayer,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,IC­20­030030,WA­ 20203181175,
103,2020-03-20,2020-03-21,Klickitat Valley Health,Klickitat,Goldendale,"medication, albuteral sulfate inhaler",Medication,Incident Stabilization,County,Assigned,Assigned,Logistics Section,0260046,WA­ 202032021105,
104,2020-03-10,2020-03-18,PHSKC,King,Seattle,staffing rr 223s staff for renton recovery facility,Staffing,Incident Stabilization,County,Unassigned,,,PH­ 202031016296 KC­ 202031016296,WA­ 202031016296,
105,2020-03-02,2020-03-17,King County Metro Transit,King,Seattle,disinfectant wipes,Disinfectant/Sanitizer,Incident Stabilization,County,In Transit,Assigned,,MTD­002,WA­ 20203221329,
106,2020-03-02,2020-03-17,City of Redmond EMD,King,Redmond,pio assistance to our ecc,,Incident Stabilization,County,Cancelled,Cancelled,,Covid 19 KC­ 20203213686,WA­ 20203213686,
107,2020-03-16,2020-03-17,KC EM,King,Algona,shower slippers,,Incident Stabilization,County,In Transit,Assigned,,KC­ 20203169786,WA­ 20203169786,
108,2020-03-14,2020-03-17,Alpha Supported Living Services,Snohomish,Bothell,"mask, n95 grade",Masks,Life Saving,County,Cancelled,,,Snoco­ 20203141699,WA­ 20203141699,
109,2020-03-16,2020-03-17,Alpha Supported Living Services­ SHD,Snohomish,Bothell,"mask, n95 grade",Masks,Incident Stabilization,County,Accepted,,,SnoCo­ 202031610415,WA­ 202031610415,
110,2020-03-04,2020-03-17,DCHS,King,Seattle,active request: need 24,,Property Preservation,County,Accepted,Assigned,,KC­ 2020349702,WA­ 2020349702,
110,2020-03-04,2020-03-17,DCHS,King,Seattle,7 congregate space for homeless individuals.,,Property Preservation,County,Accepted,Assigned,,KC­ 2020349702,WA­ 2020349702,
111,2020-03-14,2020-03-17,DCHS,King,Kent,shelter manager for kent central motel,,Incident Stabilization,County,In Transit,In Transit,,DCHS­ 202031416969,WA­ 202031416969,
112,2020-03-17,2020-03-17,Snohomish County Fire Task Force,Snohomish,Everett,"sanitizer, hand",Disinfectant/Sanitizer,Incident Stabilization,County,Accepted,,,SnoCo­ 202031712967,WA­ 202031712967,
113,2020-03-17,2020-03-17,DSHS,Spokane,Medical Lake,isolation gowns,Gowns,,County,Unassigned,,,DSHS­0017,WA­ 20203171118,
114,2020-03-08,2020-03-21,Meadowbrook AFH LLC,King,Kent,rr 191,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203815257 0,WA­ 20203815257,
114,2020-03-08,2020-03-21,Meadowbrook AFH LLC,King,Kent,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203815257 0,WA­ 20203815257,
114,2020-03-08,2020-03-21,Meadowbrook AFH LLC,King,Kent,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203815257 0,WA­ 20203815257,
114,2020-03-08,2020-03-21,Meadowbrook AFH LLC,King,Kent,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203815257 0,WA­ 20203815257,
114,2020-03-08,2020-03-21,Meadowbrook AFH LLC,King,Kent,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203815257 0,WA­ 20203815257,
114,2020-03-08,2020-03-21,Meadowbrook AFH LLC,King,Kent,"gloves, exam",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203815257 0,WA­ 20203815257,
115,2020-03-11,2020-03-21,MRJC,King,Kent,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031116235 PH­ 202031116235,WA­ 202031116235,
116,2020-03-07,2020-03-21,Meadowbrook Urgent Care & Family Practice,King,Seattle,"t3 mask, proceudre",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203715755 PH­ 20203715755,WA­ 20203715755,
116,2020-03-07,2020-03-21,Meadowbrook Urgent Care & Family Practice,King,Seattle,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203715755 PH­ 20203715755,WA­ 20203715755,
117,2020-03-20,2020-03-21,Valley Transit,Walla,Walla Walla Walla,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202032013850 0320002,WA­ 202032013850,
118,2020-03-13,2020-03-21,Snohomish County Fire & Task Force,Snohomish,Everett,cavicide,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SNOCO ­ WA­ 202031311912 WA­ 202031311912,WA­ 202031311912,
119,2020-03-13,2020-03-21,Swedish Edmonds Medical,Snohomish,Edmonds,"gloves, nitrile exam",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,ED015/SnoCo­ 202031313780 WA­202031313780,WA­ 202031313780,
120,2020-03-15,2020-03-21,Thurston County Emergency Management,Thurston,Olympia,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,TH­202031710776 TH­202031710776,WA­ 202031710776,
120,2020-03-15,2020-03-21,Thurston County Emergency Management,Thurston,Olympia,"face shield, anti­fog",Face Shield,Incident Stabilization,County,Assigned,Assigned,Logistics Section,TH­202031710776 TH­202031710776,WA­ 202031710776,
120,2020-03-15,2020-03-21,Thurston County Emergency Management,Thurston,Olympia,"gown, procedure",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,TH­202031710776 TH­202031710776,WA­ 202031710776,
120,2020-03-15,2020-03-21,Thurston County Emergency Management,Thurston,Olympia,covid19 test kits,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,TH­202031710776 TH­202031710776,WA­ 202031710776,
121,2020-03-10,2020-03-21,Okanogan EM/Lifeline Ambulance,Okanogan,Okanogan,"wipes, disinfecting",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,OKEM202003100001,WA­ 202031016798,
122,2020-03-13,2020-03-21,Swedish Edmonds Medical,Snohomish,Edmonds,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,ED008/SNOCO = 202031314749 WA­202031314749,WA­ 202031314749,
123,2020-03-15,2020-03-21,Okanogan EM/Sheriff ­ Dispatch,Okanogan,Okanogan,disinfectant wipes,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,OKEM20200312­ 0002,WA­ 202031514532,
124,2020-03-15,2020-03-21,Okanogan EM/Sheriff ­ Dispatch,Okanogan,Okanogan,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,OKEM20200312­ 0002,WA­ 202031514217,
125,2020-03-11,2020-03-21,Snohomish Health District,Snohomish,Everett,"respirator, capr air purifying respiratory unit",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SNOCO ­ WA­ 202031110693,WA­ 202031110693,
126,2020-03-21,2020-03-24,Suquamish Tribe Emergency Management,Kitsap,Suquamish,* suquamish tribe ppe for tier 1,,Incident Stabilization,State,Accepted,Assigned,,suq­032020 suq­20200321,WA­ 202032119371,
127,2020-03-22,2020-03-24,Spokane Tribe of Indians,Stevens,Kettle Falls,*spokane tribe consolidated list,,Incident Stabilization,State,Accepted,Assigned,,STOI­001 STOI­001,WA­ 202032217608,
128,2020-03-13,2020-03-24,Puyallup Tribal Health Authority,Pierce,Tacoma,* puyallup tribal health authority bulk request,,Incident Stabilization,State,Accepted,Assigned,,98404 WA­ 202031310599,WA­ 202031310599,
129,2020-03-19,2020-03-24,Benton Franklin Health District,Benton,Kennewick,testing supplies,,Incident Stabilization,County,Assigned,Assigned,,WA­ 202031910410 BC025­ COVID19,WA­ 202031910410,
130,2020-03-22,2020-03-24,Grays Harbor Emergency Management,Grays,Harbor Montesano,eoc lsc,,Incident Stabilization,State,Assigned,Assigned Completed,,GHC­O­1,WA­ 202032215427,
131,2020-03-22,2020-03-24,DSHS­Long Term Care,Thurston,Olympia,planning chief,,,State,Assigned,Assigned,,DSHS­0025,WA­ 202032217781,
132,2020-03-24,2020-03-24,KCEOC ESF8,Kitsap,Bremerton,250­bed federal medical station (fms) for tier 1 health care organization,,,County,Unassigned,,,Kitsap ­ 051ESF8,WA­ 20203248150,
133,2020-03-17,2020-03-24,Quinault Indian Nation,Grays,Harbor Ocean Shores,"staffing, c&g safety officer, quinault",Staffing,Incident Stabilization,State,Assigned,Assigned,,WA­ 20203171012 wa­ 20203171012,WA­ 20203171012,
134,2020-03-24,2020-03-24,Northwest Healthcare Response Network/Affiliate,Kitsap,Bremerton,ppe,PPE,,County,Unassigned,,,Kitsap ­ 053NWHRNA,WA­ 20203248993,
134,2020-03-24,2020-03-24,Northwest Healthcare Response Network/Affiliate,Kitsap,Bremerton,medical supplies for tier 3 health care facility,,,County,Unassigned,,,Kitsap ­ 053NWHRNA,WA­ 20203248993,
135,2020-03-12,2020-03-21,Issaquah Police Department,King,Issaquah,"gown, surgical",Gowns,Incident Stabilization,County,Assigned,Assigned,,Iss­200265­002 KC­202031215828,WA­ 202031215828,
135,2020-03-12,2020-03-21,Issaquah Police Department,King,Issaquah,"gown, tyvek",Gowns,Incident Stabilization,County,Assigned,Assigned,,Iss­200265­002 KC­202031215828,WA­ 202031215828,
135,2020-03-12,2020-03-21,Issaquah Police Department,King,Issaquah,sanitizing wipes,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,,Iss­200265­002 KC­202031215828,WA­ 202031215828,
135,2020-03-12,2020-03-21,Issaquah Police Department,King,Issaquah,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,,Iss­200265­002 KC­202031215828,WA­ 202031215828,
136,2020-03-19,2020-03-21,PeaceHealth SW Medical,Clark,Vancouver,n95 masks,Masks,Incident Stabilization,County,Assigned,Assigned,,WA­202031917417 COVID­019,WA­ 202031917417,
137,2020-03-19,2020-03-21,PeaceHealth SW Medical,Clark,Vancouver,sterile viral test kits,,Incident Stabilization,County,Assigned,Assigned,,WA­202031916813 COVID­018,WA­ 202031916813,
138,2020-03-08,2020-03-21,Bluevine Adult Family Home,King,Auburn,rr 195,,Incident Stabilization,County,Assigned,Assigned,,PH­20203816378,WA­ 20203816378,
138,2020-03-08,2020-03-21,Bluevine Adult Family Home,King,Auburn,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,,PH­20203816378,WA­ 20203816378,
138,2020-03-08,2020-03-21,Bluevine Adult Family Home,King,Auburn,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,,PH­20203816378,WA­ 20203816378,
138,2020-03-08,2020-03-21,Bluevine Adult Family Home,King,Auburn,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,,PH­20203816378,WA­ 20203816378,
138,2020-03-08,2020-03-21,Bluevine Adult Family Home,King,Auburn,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,,PH­20203816378,WA­ 20203816378,
138,2020-03-08,2020-03-21,Bluevine Adult Family Home,King,Auburn,"gloves, exam",Gloves,Incident Stabilization,County,Assigned,Assigned,,PH­20203816378,WA­ 20203816378,
139,2020-03-20,2020-03-21,Clark County / CRESA,Clark,Vancouver,mask,Masks,Incident Stabilization,County,Assigned,,,CREOC­0023/24,WA­ 20203208980,
139,2020-03-20,2020-03-21,Clark County / CRESA,Clark,Vancouver,gown,Gowns,Incident Stabilization,County,Assigned,,,CREOC­0023/24,WA­ 20203208980,
139,2020-03-20,2020-03-21,Clark County / CRESA,Clark,Vancouver,eye protection,Goggles/Glasses,Incident Stabilization,County,Assigned,,,CREOC­0023/24,WA­ 20203208980,
139,2020-03-20,2020-03-21,Clark County / CRESA,Clark,Vancouver,filters,,Incident Stabilization,County,Assigned,,,CREOC­0023/24,WA­ 20203208980,
139,2020-03-20,2020-03-21,Clark County / CRESA,Clark,Vancouver,gloves,Gloves,Incident Stabilization,County,Assigned,,,CREOC­0023/24,WA­ 20203208980,
140,2020-03-20,2020-03-21,Creekside Place ­ Assisted Living Memory Care Homes,Clark,Vancouver,"n95 mask, faceshields, gloves, and gowns",Masks,Incident Stabilization,County,Assigned,Assigned,,COVID­020,WA­ 20203208342,
141,2020-03-15,2020-03-21,Grays Harbor Public Health,Grays,Harbor Aberdeen,"mask, surgical",Masks,Incident Stabilization,County,Assigned,Assigned,,GHPH001 GHC014,WA­ 202031511841,
142,2020-03-20,2020-03-21,Clark County / CRESA,Clark,Vancouver,glove,Gloves,Incident Stabilization,County,Assigned,Assigned,,WA­20203208279 CREOC­0024,WA­ 20203208279,
143,2020-03-08,2020-03-21,WillowBrook AFH INC,King,Kent,rr 194,,Incident Stabilization,County,Assigned,Assigned,,PH­20203816427,WA­ 20203816427,
143,2020-03-08,2020-03-21,WillowBrook AFH INC,King,Kent,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,,PH­20203816427,WA­ 20203816427,
143,2020-03-08,2020-03-21,WillowBrook AFH INC,King,Kent,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,,PH­20203816427,WA­ 20203816427,
143,2020-03-08,2020-03-21,WillowBrook AFH INC,King,Kent,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,,PH­20203816427,WA­ 20203816427,
143,2020-03-08,2020-03-21,WillowBrook AFH INC,King,Kent,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,,PH­20203816427,WA­ 20203816427,
143,2020-03-08,2020-03-21,WillowBrook AFH INC,King,Kent,"gloves, exam",Gloves,Incident Stabilization,County,Assigned,Assigned,,PH­20203816427,WA­ 20203816427,
144,2020-03-13,2020-03-21,Grays Harbor Community Hospital,Grays,Harbor Aberdeen,covid 19 tests,,Incident Stabilization,County,Accepted,Accepted,,GHCH001/GHC012 WA­202031315481,WA­ 202031315481,
145,2020-03-11,2020-03-21,Lewis County DEM Fire District 6,Lewis,Chehalis,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Lewis ­ 202031011566,WA­ 202031120164,
145,2020-03-11,2020-03-21,Lewis County DEM Fire District 6,Lewis,Chehalis,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Lewis ­ 202031011566,WA­ 202031120164,
145,2020-03-11,2020-03-21,Lewis County DEM Fire District 6,Lewis,Chehalis,"goggles, safety",Goggles/Glasses,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Lewis ­ 202031011566,WA­ 202031120164,
145,2020-03-11,2020-03-21,Lewis County DEM Fire District 6,Lewis,Chehalis,gloves exam,Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Lewis ­ 202031011566,WA­ 202031120164,
145,2020-03-11,2020-03-21,Lewis County DEM Fire District 6,Lewis,Chehalis,disinfectant,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Lewis ­ 202031011566,WA­ 202031120164,
146,2020-03-12,2020-03-21,Lewis County DEM Fire District 14,Lewis,Morton,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Lewis ­ 202031011566,WA­ 202031211760,
146,2020-03-12,2020-03-21,Lewis County DEM Fire District 14,Lewis,Morton,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Lewis ­ 202031011566,WA­ 202031211760,
146,2020-03-12,2020-03-21,Lewis County DEM Fire District 14,Lewis,Morton,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Lewis ­ 202031011566,WA­ 202031211760,
147,2020-03-13,2020-03-21,Franke Tobey Jones,Pierce,Tacoma,"mask, surgical",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,29153 WA­ 202031313677,WA­ 202031313677,
147,2020-03-13,2020-03-21,Franke Tobey Jones,Pierce,Tacoma,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,29153 WA­ 202031313677,WA­ 202031313677,
147,2020-03-13,2020-03-21,Franke Tobey Jones,Pierce,Tacoma,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,29153 WA­ 202031313677,WA­ 202031313677,
147,2020-03-13,2020-03-21,Franke Tobey Jones,Pierce,Tacoma,"gloves, exam",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,29153 WA­ 202031313677,WA­ 202031313677,
147,2020-03-13,2020-03-21,Franke Tobey Jones,Pierce,Tacoma,"disinfectant, wipes",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,29153 WA­ 202031313677,WA­ 202031313677,
148,2020-03-13,2020-03-21,Lewis County DEM Medic One,Lewis,Toledo,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Lewis ­ 202031011566,WA­ 202031320776,
148,2020-03-13,2020-03-21,Lewis County DEM Medic One,Lewis,Toledo,gown,Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Lewis ­ 202031011566,WA­ 202031320776,
148,2020-03-13,2020-03-21,Lewis County DEM Medic One,Lewis,Toledo,"goggles, safety",Goggles/Glasses,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Lewis ­ 202031011566,WA­ 202031320776,
149,2020-03-12,2020-03-21,McNeail Island FD/DSHS Special Commitment Ctr,Pierce,Steilacoom,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,28927,WA­ 202031213398,
149,2020-03-12,2020-03-21,McNeail Island FD/DSHS Special Commitment Ctr,Pierce,Steilacoom,"mask, surgical",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,28927,WA­ 202031213398,
149,2020-03-12,2020-03-21,McNeail Island FD/DSHS Special Commitment Ctr,Pierce,Steilacoom,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,28927,WA­ 202031213398,
149,2020-03-12,2020-03-21,McNeail Island FD/DSHS Special Commitment Ctr,Pierce,Steilacoom,"shield, face",Face Shield,Incident Stabilization,County,Assigned,Assigned,Logistics Section,28927,WA­ 202031213398,
150,2020-03-12,2020-03-21,WA State DOH,Thurston,Tumwater,"staffing, call center, tumwater",Staffing,Incident Stabilization,State,Cancelled,Assigned,,DOH­T0312.9 WA­ 202031211437,WA­ 202031211437,
151,2020-03-09,2020-03-21,Pierce County Emergency Management,Pierce,Tacoma,n95 for tacoma fire,,Incident Stabilization,State,Completed,Completed,,28567,WA­ 20203913877,
