,original_dt,update_dt,agency,county,city,subject,pty,worked_by,overall_stus,assignment_stus,assignee,jurisdictiont_tracking_num,state_tracking_num,emac_federal_ma_num
138,2020-03-08,2020-03-21,Bluevine Adult Family Home,King,Auburn,"RR 195 / mask, N95 / mask, procedure / hand sanitizer / gown, disposable / gloves, exam",Incident Stabilization,County,Assigned,Assigned,,PH­20203816378,WA­ 20203816378,
139,2020-03-20,2020-03-21,Clark County / CRESA,Clark,Vancouver,Mask / gown / eye protection / filters / gloves,Incident Stabilization,County,Assigned,,,CREOC­0023/24,WA­ 20203208980,
140,2020-03-20,2020-03-21,Creekside Place ­ Assisted Living Memory Care Homes,Clark,Vancouver,"N95 mask, faceshields, gloves, and gowns",Incident Stabilization,County,Assigned,Assigned,,COVID­020,WA­ 20203208342,
141,2020-03-15,2020-03-21,Grays Harbor Public Health,Grays,Harbor Aberdeen,"Mask, surgical",Incident Stabilization,County,Assigned,Assigned,,GHPH001 GHC014,WA­ 202031511841,
142,2020-03-20,2020-03-21,Clark County / CRESA,Clark,Vancouver,Glove,Incident Stabilization,County,Assigned,Assigned,,WA­20203208279 CREOC­0024,WA­ 20203208279,
143,2020-03-08,2020-03-21,WillowBrook AFH INC,King,Kent,"RR 194 / mask, N95 / mask, procedure / hand sanitizer / gown, disposable / gloves, exam",Incident Stabilization,County,Assigned,Assigned,,PH­20203816427,WA­ 20203816427,
144,2020-03-13,2020-03-21,Grays Harbor Community Hospital,Grays,Harbor Aberdeen,COVID 19 Tests,Incident Stabilization,County,Accepted,Accepted,,GHCH001/GHC012 WA­202031315481,WA­ 202031315481,
145,2020-03-11,2020-03-21,Lewis County DEM Fire District 6,Lewis,Chehalis,"Mask, N95 / Gown, Disposable / Goggles, Safety / Gloves Exam / Disinfectant",Incident Stabilization,County,Assigned,Assigned,Logistics Section,Lewis ­ 202031011566,WA­ 202031120164,
146,2020-03-12,2020-03-21,Lewis County DEM Fire District 14,Lewis,Morton,"Mask, N95 / Mask, Procedure / Gown, Disposable",Incident Stabilization,County,Assigned,Assigned,Logistics Section,Lewis ­ 202031011566,WA­ 202031211760,
147,2020-03-13,2020-03-21,Franke Tobey Jones,Pierce,Tacoma,"mask, surgical / hand sanitizer/ gown, disposable / gloves, exam / disinfectant, wipes",Incident Stabilization,County,Assigned,Assigned,Logistics Section,29153 WA­ 202031313677,WA­ 202031313677,
148,2020-03-13,2020-03-21,Lewis County DEM Medic One,Lewis,Toledo,"Mask, N95 / gown / goggles, safety",Incident Stabilization,County,Assigned,Assigned,Logistics Section,Lewis ­ 202031011566,WA­ 202031320776,
149,2020-03-12,2020-03-21,McNeail Island FD/DSHS Special Commitment Ctr,Pierce,Steilacoom,"mask, N95 / mask, Surgical / Gown, disposable / shield, face",Incident Stabilization,County,Assigned,Assigned,Logistics Section,28927,WA­ 202031213398,
150,2020-03-12,2020-03-21,WA State DOH,Thurston,Tumwater,"Staffing, Call Center, Tumwater",Incident Stabilization,State,Cancelled,Assigned,,DOH­T0312.9 WA­ 202031211437,WA­ 202031211437,
151,2020-03-09,2020-03-21,Pierce County Emergency Management,Pierce,Tacoma,N95 for Tacoma Fire / ^,Incident Stabilization,State,Completed,Completed,,28567,WA­ 20203913877,
152,2020-03-10,2020-03-21,The Everett Clinic/BULK Med T2,Snohomish,Marysville,"Mask, Procedure",Incident Stabilization,County,Assigned,Accepted,,SNOCO ­ WA­ 20203101482,WA­ 20203101482,
153,2020-03-10,2020-03-21,The Everett Clinic /BULK Med T2,Snohomish,Marysville,"Gown, Disposable",Incident Stabilization,County,Assigned,Assigned,,SNOCO ­ WA­ 202031014974,WA­ 202031014974,
154,2020-01-21,2020-03-21,PHSKC,King,Seattle,RR 108 ­ EOC Laptops,Incident Stabilization,City,Completed,Completed,,PH­ 20202617971,WA­ 20202617971,
155,2020-03-10,2020-03-21,PHSKC,King,Seattle,RR 222S 6 Administrative Specialists for HMAC,Incident Stabilization,County,Assigned,Assigned,,PH­ 202031016916 KC­ 202031016916,WA­ 202031016916,
156,2020-03-18,2020-03-21,Bethany at Pacific ­ SHD/ BULK Med T3,Snohomish,Everett,"Masks, Procedure",Incident Stabilization,County,Assigned,,,SnoCo­ 202031815280,WA­ 202031815280,
157,2020-03-18,2020-03-21,Smokey Point Behavioral Hospital/ BULK Med T2,Snohomish,Marysville,"Masks, Respirator",Incident Stabilization,County,Assigned,,,SnoCo­ 20203181612,WA­ 20203181612,
158,2020-03-19,2020-03-21,Smokey Point Behavioral Hospital/ BULK Med T2,Snohomish,Marysville,"Masks, Surgical",Incident Stabilization,County,Assigned,,,SnoCo­ 20203191567,WA­ 20203191567,
159,2020-03-18,2020-03-21,Sunrise View Convalescent Center ­ SHD/ BULK Med T1,Snohomish,Everett,Face Shield,Incident Stabilization,County,Assigned,,,Snoco­ 202031813901,WA­ 202031813901,
160,2020-03-23,2020-03-23,PHSKC,King,Seattle,RR 391 Supply Unit Lead,Incident Stabilization,City,Unassigned,,,PH­202032315768 ­ RR 391,WA­ 202032315768,
161,2020-03-20,2020-03-23,City of Lake Stevens,Snohomish,Lake Stevens,N95 Respirators,,County,Unassigned,,,2020­00001,WA­ 202032012782,
162,2020-03-18,2020-03-23,Department of Corrections,Thurston,Tumwater,"N95 Masks, Isolation Gowns, Virial Culture test kit",Incident Stabilization,State,Assigned,Assigned,Logistics Section,COVID19_2020_00006,WA­ 20203181859,
163,2020-03-23,2020-03-23,Pierce County Emergency Management,Pierce,Tacoma,PPE for Central Temporary Care Center,Incident Stabilization,County,Assigned,Assigned,Logistics Section,30912 30912,WA­ 20203231528,
164,2020-03-13,2020-03-23,"CareForce, Inc",Snohomish,Lynnwood,"Mask, N95",Incident Stabilization,County,Assigned,Assigned,Logistics Section,SnoCo­202031316491 WA­202031316491,WA­ 202031316491,
165,2020-03-13,2020-03-23,Community Health Center of SnoCo,Snohomish,Everett,Swabs,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SnoCo­20203139969 WA­20203139969,WA­ 20203139969,
166,2020-03-03,2020-03-23,WA State DOH,Thurston,Tumwater,"Planning Section Chief, Tumwater IMT / ^",Incident Stabilization,State,Completed,Completed,Planning Section,DOH­T0303.4 WA­20203315444,WA­ 20203315444,
167,2020-02-20,2020-03-23,DOH IMT,King,Shoreline,"Staffing, PSC Shoreline / ^",Incident Stabilization,State,Completed,Completed,Planning Section,DOH 0220.11 DOH 0220.11,WA­ 202022016265,
168,2020-03-04,2020-03-21,Holy Family Hospital,Spokane,Spokane,"Gloves, Exam, Small",Incident Stabilization,County,Assigned,Assigned,Logistics Section,HF­016,WA­ 2020349581,
169,2020-03-04,2020-03-21,HOLY FAMILY HOSPITAL,Spokane,Spokane,"Mask, Procedure",Incident Stabilization,County,Assigned,Assigned,Logistics Section,HF­009,WA­ 2020349706,
170,2020-03-18,2020-03-21,Department of Corrections,Snohomish,Monroe,"Gowns, Disposable, Large, 200",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­202031817457 COVID19_2020_00011,WA­ 202031817457,
171,2020-03-04,2020-03-21,Holy Family Hospital,Spokane,Spokane,"Gloves, Exam, Medium",Incident Stabilization,County,Assigned,Assigned,Logistics Section,HF­015,WA­ 2020349187,
172,2020-03-18,2020-03-21,Department of Corrections,Snohomish,Monroe,"Mask, N95, Adult, 54 Box / Wipes, Disinfecting, 50 Containers / Gowns, Disposable, Large, 4500 / Shields, Face, Adult, 4500",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­202031817532 COVID19­2020­00002,WA­ 202031817532,
173,2020-03-04,2020-03-21,Sacred Heart Medical,Spokane,Spokane,"Mask, N95 / filter, mask",Life Saving,County,Accepted,Accepted,Logistics Section,SH­005,WA­20203481,
174,2020-03-19,2020-03-19,AFH Management,Snohomish,Mountlake Terrace,"Wipes, Disinfecting",Incident Stabilization,County,Accepted,,,SnoCo­ 202031910495,WA­ 202031910495,
175,2020-03-19,2020-03-19,AFH Management,Snohomish,Mountlake Terrace,"Masks, Face",Incident Stabilization,County,Accepted,,,SnoCo­ 202031910530,WA­ 202031910530,
176,2020-03-19,2020-03-19,AFH Management,Snohomish,Mountlake Terrace,"Gloves, Exam",Incident Stabilization,County,Accepted,,,SnoCo­ 20203199100,WA­ 20203199100,
177,2020-03-17,2020-03-19,Bellevue,King,Bellevue,Exam Gloves/SANI­ CLOTH® AF3 Germicidal Disposable Wipes,Incident Stabilization,City,Completed,,,BEL­ 202031813119,WA­ 202031813119,
178,2020-03-19,2020-03-19,Evergreen Health Monroe Hospital,Snohomish,Monroe,"Wipes, Bleach",Incident Stabilization,County,Accepted,,,EGHM4 SnoCo­ 20203199369,WA­ 20203199369,
179,2020-03-13,2020-03-19,WA State DOH,Thurston,Tumwater,"staffing, Tumwater, Ordering Specialist",Incident Stabilization,State,Cancelled,Assigned,,DOH­T0313.18 WA­ 202031318587,WA­ 202031318587,
180,2020-03-11,2020-03-19,WA State DOH,Thurston,Tumwater,Staffing Tumwater WSP Security,Incident Stabilization,State,Assigned,Assigned,,DOH­T 0311.13 WA­ 202031113248,WA­ 202031113248,
181,2020-03-19,2020-03-19,Okanogan EM / Aero Methow,Okanogan,Twisp,"Mask, N95",Incident Stabilization,County,Unassigned,,,OKEM20200316­ 0005.8,WA­ 20203198610,
182,2020-03-19,2020-03-19,Okanogan EM / Aero Methow,Okanogan,Twisp,"Respirator, Particulate",Incident Stabilization,County,Unassigned,,,OKEM20200316­ 0005.7,WA­ 20203198731,
183,2020-03-19,2020-03-19,Okanogan EM / Aero Methow,Okanogan,Twisp,"Gown, Disposable",Incident Stabilization,County,Unassigned,,,OKEM20200316­ 0005.2,WA­ 2020319873,
184,2020-03-19,2020-03-19,Okanogan EM / Aero Methow,Okanogan,Twisp,PPE ­ Shoe Covers,Incident Stabilization,County,Unassigned,,,OKEM20200316­ 0005.1,WA­ 20203198304,
185,2020-03-16,2020-03-21,Grays Harbor Sheriff's Office,Grays,Harbor Montesano,Disinfecting Wipes,Incident Stabilization,County,Assigned,Assigned,Logistics Section,GHSO001 GHC026,WA­ 202031614964,
186,2020-03-06,2020-03-21,"Logistics, City of Bothell",King,Bothell,Disinfecting Wipes,Incident Stabilization,County,Assigned,Assigned,Logistics Section,BOT0101 WA­ 20203612647,WA­ 20203612647,
187,2020-03-16,2020-03-21,Newport Hospital & Health Services,Pend,Oreille Cusick,"Wipes, Oxyvir Disfecting",Incident Stabilization,County,Assigned,Accepted,Logistics Section,WA­ 202031617358,WA­ 202031617358,
188,2020-03-14,2020-03-21,Alpha Supported Living Services,King,Woodinville,Hand Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031418278, RR 283 KC­ 202031418278",WA­ 202031418278,
189,2020-03-16,2020-03-21,Grays Harbor Fire District #7,Grays,Harbor Aberdeen,"Mask, N95",Incident Stabilization,County,Assigned,Assigned,Logistics Section,GHFD7­001 GHC021,WA­ 202031611868,
190,2020-03-10,2020-03-21,Child and Adolescent Clinic,Cowlitz,Longview,"Gown, Disposable / Mask, N95 / Mask, Procedure / Hand Sanitizer",Incident Stabilization,County,Assigned,Assigned,Logistics Section,DEM­001,WA­ 202031014453,
191,2020-03-13,2020-03-21,Ida Culver House Ravenna,King,Seattle,RR 261 / Hand Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031315356 KC­ 202031315356,WA­ 202031315356,
192,2020-03-11,2020-03-21,Snohomish Health District,Snohomish,Everett,"Cup, Collection",Incident Stabilization,County,Assigned,Assigned,,SNOCO ­ WA­ 202031111425,WA­ 202031111425,
193,2020-03-09,2020-03-21,City of Bothell,King,Bothell,"Gown, Disposable",Incident Stabilization,County,Assigned,Completed,,BOT0108 KC­ 20203912999,WA­ 20203912999,
194,2020-03-09,2020-03-21,Maribella Seattle,King,Seattle,"Mask, N95 / Gloves, Exam / Gown, Disposable / Goggles, Safety",Incident Stabilization,County,Assigned,Assigned,,PH­ 20203913263,WA­ 20203913263,
195,2020-03-17,2020-03-21,Life Care,King,Kirkland,"Gowns, Disposable, Large, 5000 / Masks, Procedure, Large, 6400 / Shield, Face, 3200 / Gloves, Disposable, Large, 10,800 / Hand Sanitizer, 6 Cases",Incident Stabilization,County,Assigned,Assigned,,"PH­ 202031712419, RR 316 KC­2020317146",WA­ 2020317146,
196,2020-03-17,2020-03-21,King Country Fire District #2 (Burien FD),King,Burien,"Mask, N­95. / Masks",Incident Stabilization,County,Assigned,In Transit,,004 KC­ 202031714682,WA­ 202031714682,
197,2020-03-10,2020-03-21,City of Redmond,King,Redmond,"mask, N95 / gown, isolation",Incident Stabilization,County,Assigned,Assigned,,C004 WA­ 202031010677,WA­ 202031010677,
198,2020-03-06,2020-03-21,Snohomish County Fire,Snohomish,Everett,"Shield, Face",Incident Stabilization,County,Assigned,Assigned,,Sno­ 20203616602,WA­ 20203616602,
199,2020-03-06,2020-03-21,City of Bothell,King,Bothell,Hand Sanitizer,Incident Stabilization,County,Assigned,Assigned,,BOT0100 WA­ 20203611830,WA­ 20203611830,
200,2020-03-19,2020-03-21,Okanogan EM / Okanogan County Transit,Okanogan,Okanogan,"Gloves, surgical",Incident Stabilization,County,Assigned,Assigned,,WA­ 202031916620 OKEM20200319­ 0016,WA­ 202031916620,
201,2020-03-18,2020-03-21,City of SeaTac,King,SeaTac,"Thermometer, No Contact, Adult, 5 / Hand Sanitizer, 8oz, 2005",Incident Stabilization,County,Assigned,Assigned,,SeaTac­001­ WA­ 202031811195 KC­ 202031811195,WA­ 202031811195,
202,2020-03-19,2020-03-21,Coulee City Fire Dept.,Grant,Coulee City,"Suit, Prot. Gowns/Masks, N95/Safety glasses",Incident Stabilization,County,Assigned,Assigned,,WA­ 202031914936 2020­23,WA­ 202031914936,
203,2020-03-19,2020-03-21,Ballard Ambulance,Chelan,Wenatchee,"Mask, N95,Small, / Mask, N95, / Medium,/ Mask, N95, Large, / Mask, Procedure,/ Gown, Disposable, / Eye Protection, / Gloves, Disposable, all sizes, / PPE",Incident Stabilization,County,Assigned,Assigned,,WA­ 202031914844 2020­03­19­11,WA­ 202031914844,
204,2020-03-19,2020-03-21,Okanogan EM / County Coroner,Okanogan,Okanogan,"Suit, Tyvek",Incident Stabilization,County,Assigned,Assigned,,WA­ 20203199569 OKEM20200319­ 0002,WA­ 20203199569,
205,2020-03-11,2020-03-21,Chelan County Emergency Management,Chelan,Wenatchee,"wipes, sanitizing",Incident Stabilization,County,Assigned,Assigned,,2020­03­11­002,WA­ 20203119201,
206,2020-03-09,2020-03-21,City of Bellevue,King,Bellevue,Gown,Incident Stabilization,County,Accepted,,,BEL­ 20203913490 BEL­ 20203913490,WA­ 20203913490,
207,2020-03-22,2020-03-22,Clallam County Emergency Management,Clallam,Forks,Hygiene and Cleaning Supplies,Incident Stabilization,County,Assigned,Assigned,,WA­ 202032214105 Cl.3.22.20­2,WA­ 202032214105,
208,2020-03-22,2020-03-22,Kittitas County Emergency Management,Kittitas,Ellensburg,*Consolidated PPE Request for Kittitas County,Incident Stabilization,State,Accepted,Accepted,,0004 & 0005 0015 & 0016,WA­ 202032212657,
209,2020-03-22,2020-03-22,Whitman County Emergency Management,Whitman,Colfax,Whitman Combined PPE,,County,Unassigned,,,WCEM­04,WA­ 202032213405,
210,2020-02-18,2020-03-22,DOH IMT,King,Shoreline,Community Mitigation Branch Deputy Director,Incident Stabilization,State,Assigned,Accepted,,DOH 0218­02,WA­ 20202189831,
211,2020-03-18,2020-03-22,Soundview Supported Living,Skagit,Anacortes,"mask,N95",Incident Stabilization,County,Assigned,,,202003171917B,WA­ 202031817194,
212,2020-03-18,2020-03-22,Soundview Supported Living,Skagit,Anacortes,face shields,Incident Stabilization,County,Assigned,Assigned,,202003171917C,WA­ 20203181749,
213,2020-03-13,2020-03-22,EMS,Skagit,Anacortes,"Gown, isolation / goggles, safety",Incident Stabilization,County,Assigned,Assigned,,202003131711,WA­ 20203131779,
214,2020-03-13,2020-03-22,DEM,Skagit,Mount Vernon,"Mask, Procedure",Incident Stabilization,County,Completed,Assigned,,202003131430,WA­ 202031314138,
215,2020-03-10,2020-03-22,Skagit EMS,Skagit,Mount Vernon,"Mask, N95 / Mask, Procedure / Gown, Disposable",Incident Stabilization,County,Completed,Assigned,,202003101229,WA­ 202031012903,
216,2020-03-18,2020-03-22,Soundview Supported Living,Skagit,Anacortes,"gown,disposable",Incident Stabilization,County,Assigned,,,202003171917D,WA­ 202031817215,
217,2020-03-19,2020-03-20,Sauk Suiattle Tribe,Skagit,Mount Vernon,Type 3 Barrier,Incident Stabilization,County,Assigned,Accepted,,202003190235 202003190235,WA­ 202031914299,
218,2020-03-20,2020-03-20,Longview Police Dept.,Cowlitz,Longview,Medical protective equipment/supplies,Incident Stabilization,County,Unassigned,,,DEM­022,WA­ 202032011248,
219,2020-03-06,2020-03-20,West Pierce Fire & Rescue & City of Lakewood,Pierce,Lakewood,"Masks, N95",Incident Stabilization,City,Assigned,Assigned,,RR #1 WA­ 20203613279,WA­ 20203613279,
220,2020-03-20,2020-03-20,Snoco ECC,Snohomish,Snohomish,N95 masks and filters,Incident Stabilization,County,Accepted,,,Snoco­ 2020320890,WA­ 2020320890,
221,2020-03-19,2020-03-20,Bellevue Police Department,King,Bellevue,480 rolls of paper towels,Incident Stabilization,City,Accepted,Assigned,,BEL­ 202031911788,WA­ 202031911788,
222,2020-03-16,2020-03-20,Skagit Fire 04,Skagit,Anacortes,"mask, N95",Incident Stabilization,County,Completed,,,202003111143,WA­ 202031614670,
223,2020-03-19,2020-03-20,Skagit Community Justice Center,Skagit,Anacortes,"mask,surgical",Incident Stabilization,County,Assigned,Accepted,,202003191044,WA­ 202031911473,
224,2020-03-19,2020-03-20,Okanogan EM / Okanogan County Transit,Okanogan,Okanogan,Hand Sanitizer,Incident Stabilization,County,Assigned,Accepted,,OKEM20200319­ 0017,WA­ 202031916285,
225,2020-03-19,2020-03-19,Alliance Nursing,Snohomish,Snohomish,RR 364 ­ Disinfectant Supplies for Alliance Nursing,Incident Stabilization,City,Unassigned,,,RR 364,WA­ 202031922581,
226,2020-03-19,2020-03-19,Alliance Nursing,Snohomish,Snohomish,RR 363 (DO NOT REMOVE) ­ PPE for Alliance Nursing,Incident Stabilization,City,Unassigned,,,"PH­ 202031921433, RR 363",WA­ 202031921433,
227,2020-03-06,2020-03-21,WA State DOH,Thurston,Tumwater,"Staffing, Tumwater, Safety Officer",Incident Stabilization,State,Assigned,Assigned,,DOH­T 0306.6 WA­ 202036720,WA­ 202036720,
228,2020-03-06,2020-03-21,WA State DOH,Thurston,Tumwater,"Staffing, Tumwater, Safety Officer",Incident Stabilization,State,Assigned,Assigned,,DOH­T 0306.7 WA­20236739,WA­ 202036739,
229,2020-03-06,2020-03-21,WA State DOH,Thurston,Tumwater,"Staffing, Tumwater, Planning Section Chief",Incident Stabilization,State,Assigned,Assigned,,DOH­T 0306.30 WA­ 20203616981,WA­ 20203616981,
230,2020-03-07,2020-03-21,WA Department of Health,Thurston,Tumwater,"Staffing, Tumwater, Operations Section Chief",Incident Stabilization,State,Assigned,Assigned,,DOH­T 0307.10 WA­ 20203717921,WA­ 20203717921,
231,2020-03-06,2020-03-21,WA State DOH,Thurston,Tumwater,"Staffing, Tumwater, Planning Section Chief",Incident Stabilization,State,Assigned,Assigned,,DOH­T 0306.23 WA­ 20203616750,WA­ 20203616750,
232,2020-03-06,2020-03-21,WA State DOH,Thurston,Tumwater,"Staffing, Tumwater, Planning Section Chief",Incident Stabilization,State,Assigned,Accepted,,DOH­T 0306.22 WA­ 20203616191,WA­ 20203616191,
233,2020-03-06,2020-03-21,WA State DOH,Thurston,Tumwater,"Staffing, Tumwater, Planning Section Chief",Incident Stabilization,State,Assigned,Assigned,,DOH­T 0306.21 WA­ 20203616399,WA­ 20203616399,
234,2020-03-06,2020-03-21,WA State DOH,Thurston,Tumwater,"Staffing, Tumwater, Planning Section Chief",Incident Stabilization,State,Assigned,Assigned,,DOH­T 0306.20 WA­ 20203616323,WA­ 20203616323,
235,2020-03-06,2020-03-21,WA State DOH,King,Shoreline,"Staffing, Shoreline, Safety Officer",Incident Stabilization,State,Assigned,Assigned,,DOH­T 0306.9 WA­ 2020369261,WA­ 2020369261,
